WCVP_id;accepted_binomial;authority;EUNIS_name;original_name;family;order;APG_clade
202916;Teucrium flavum;L.;Teucrium flavum;Teucrium flavum;Lamiaceae;Lamiales;asterids
203101;Teucrium massiliense;L.;Teucrium massiliense;Teucrium massiliense;Lamiaceae;Lamiales;asterids
203217;Teucrium polium;L.;Teucrium polium;Teucrium polium;Lamiaceae;Lamiales;asterids
204339;Thymbra capitata;(L.) Cav.;Thymbra capitata;Thymbra capitata;Lamiaceae;Lamiales;asterids
205262;Thymus praecox;Opiz;Thymus praecox;Thymus praecox;Lamiaceae;Lamiales;asterids
205645;Thymus vulgaris;L.;Thymus vulgaris;Thymus vulgaris;Lamiaceae;Lamiales;asterids
78308;Euphorbia amygdaloides;L.;Euphorbia amygdaloides;Euphorbia amygdaloides;Euphorbiaceae;Malpighiales;rosids
79302;Euphorbia dendroides;L.;Euphorbia dendroides;Euphorbia dendroides;Euphorbiaceae;Malpighiales;rosids
81334;Euphorbia paralias;L.;Euphorbia paralias;Euphorbia paralias;Euphorbiaceae;Malpighiales;rosids
81418;Euphorbia peplis;L.;Euphorbia peplis;Euphorbia peplis;Euphorbiaceae;Malpighiales;rosids
82490;Euphorbia terracina;L.;Euphorbia terracina;Euphorbia heterophylla;Euphorbiaceae;Malpighiales;rosids
515400;Hypericum empetrifolium;Willd.;Hypericum empetrifolium;Hypericum empetrifolium;Hypericaceae;Malpighiales;rosids
516286;Hypericum perforatum;L.;Hypericum perforatum;Hypericum perforatum;Hypericaceae;Malpighiales;rosids
2353458;Linum suffruticosum;L.;Linum suffruticosum;Linum suffruticosum;Linaceae;Malpighiales;rosids
2917735;Populus alba;L.;Populus alba;Populus alba;Salicaceae;Malpighiales;rosids
2723264;Cistus albidus;L.;Cistus albidus;Cistus albidus;Cistaceae;Malvales;rosids
2723324;Cistus clusii;Dunal;Cistus clusii;Cistus clusii;Cistaceae;Malvales;rosids
2723343;Cistus creticus;L.;Cistus creticus;Cistus creticus;Cistaceae;Malvales;rosids
2723524;Cistus monspeliensis;L.;Cistus monspeliensis;Cistus monspeliensis;Cistaceae;Malvales;rosids
2723633;Cistus salviifolius;L.;Cistus salviifolius;Cistus salviifolius;Cistaceae;Malvales;rosids
2815181;Fumana ericoides;(Cav.) Gand.;Fumana ericoides;Fumana ericoides;Cistaceae;Malvales;rosids
2815222;Fumana thymifolia;(L.) Webb;Fumana thymifolia;Fumana thymifolia;Cistaceae;Malvales;rosids
2842251;Helianthemum apenninum;(L.) Mill.;Helianthemum apenninum;Helianthemum apenninum;Cistaceae;Malvales;rosids
2842793;Helianthemum squamatum;(L.) Dum.Cours.;Helianthemum squamatum;Helianthemum squamatum;Cistaceae;Malvales;rosids
2842816;Helianthemum syriacum;(Jacq.) Dum.Cours.;Helianthemum syriacum;Helianthemum syriacum;Cistaceae;Malvales;rosids
2842864;Helianthemum violaceum;(Cav.) Pers.;Helianthemum violaceum;Helianthemum violaceum;Cistaceae;Malvales;rosids
132410;Myrtus communis;L.;Myrtus communis;Myrtus communis;Myrtaceae;Myrtales;rosids
539640;Achnatherum parviflorum;(Desf.) M.Nobis;Stipa parviflora;Stipa parviflora;Poaceae;Poales;monocots
387679;Aegilops geniculata;Roth;Aegilops geniculata;Aegilops geniculata;Poaceae;Poales;monocots
387679;Aegilops neglecta;Req. ex Bertol.;Aegilops geniculata;Triticum ovatum;Poaceae;Poales;monocots
397352;Avena barbata;Pott ex Link;Avena barbata;Avena barbata;Poaceae;Poales;monocots
397959;Avena fatua;L.;Avena sterilis;Avena fatua;Poaceae;Poales;monocots
397352;Avena sativa;L.;Avena barbata;Avena sativa;Poaceae;Poales;monocots
397959;Avena sterilis;L.;Avena sterilis;Avena sterilis;Poaceae;Poales;monocots
221905;Bolboschoenus maritimus;(L.) Palla;Bolboschoenus maritimus;Bolboschoenus maritimus;Cyperaceae;Poales;monocots
221905;Bolboschoenus maritimus;(L.) Palla;Bolboschoenus maritimus;Scirpus maritimus;Cyperaceae;Poales;monocots
399988;Brachypodium phoenicoides;(L.) Roem. & Schult.;Brachypodium phoenicoides;Brachypodium phoenicoides;Poaceae;Poales;monocots
400076;Brachypodium retusum;(Pers.) P.Beauv.;Brachypodium retusum;Brachypodium retusum;Poaceae;Poales;monocots
400234;Briza maxima;L.;Briza maxima;Briza maxima;Poaceae;Poales;monocots
400948;Bromus erectus;Huds.;Bromopsis erecta;Bromus erectus;Poaceae;Poales;monocots
401143;Bromus hordeaceus;L.;Bromus hordeaceus;Bromus hordeaceus;Poaceae;Poales;monocots
402386;Calamagrostis arenaria;(L.) Roth;Ammophila arenaria;Calamagrostis arenaria;Poaceae;Poales;monocots
226238;Carex echinata;Murray;Carex echinata;Carex echinata;Cyperaceae;Poales;monocots
228063;Carex lepidocarpa;Tausch;Carex lepidocarpa;Carex lepidocarpa;Cyperaceae;Poales;monocots
533648;Carex sempervirens;Vill.;Carex bulgarica;Carex sempervirens;Cyperaceae;Poales;monocots
406482;Cynosurus echinatus;L.;Cynosurus echinatus;Cynosurus echinatus;Poaceae;Poales;monocots
235982;Cyperus capitatus;Vand.;Cyperus capitatus;Cyperus capitatus;Cyperaceae;Poales;monocots
406640;Dactylis glomerata;L.;Dactylis glomerata;Dactylis glomerata;Poaceae;Poales;monocots
244565;Eriophorum latifolium;Hoppe;Eriophorum latifolium;Eriophorum latifolium;Cyperaceae;Poales;monocots
417110;Festuca alpina;Suter;Festuca varia;Festuca alpina;Poaceae;Poales;monocots
415148;Festuca eskia;Ramond ex DC.;Festuca eskia;Festuca eskia;Poaceae;Poales;monocots
415163;Festuca fasciculata;Forssk.;Vulpia fasciculata;Festuca fasciculata;Poaceae;Poales;monocots
415404;Festuca hystrix;Boiss.;Festuca hystrix;Festuca curvifolia;Poaceae;Poales;monocots
416502;Festuca juncifolia;St.-Amans;Festuca rubra;Festuca juncifolia;Poaceae;Poales;monocots
416502;Festuca rubra;L.;Festuca braun-blanquetii;Festuca rubra;Poaceae;Poales;monocots
416502;Festuca rubra;L.;Festuca rubra;Festuca rubra;Poaceae;Poales;monocots
466367;Helictochloa marginata;(Lowe) Romero Zarco;Helictochloa marginata;Helictochloa marginata;Poaceae;Poales;monocots
419396;Hordeum marinum;Huds.;Hordeum geniculatum;Hordeum maritimum;Poaceae;Poales;monocots
419395;Hordeum marinum;Huds.;Hordeum marinum;Hordeum maritimum;Poaceae;Poales;monocots
314576;Juncus bufonius;L.;Juncus bufonius;Juncus bufonius;Juncaceae;Poales;monocots
421289;Koeleria glauca;(Spreng.) DC.;Koeleria crassipes;Koeleria glauca;Poaceae;Poales;monocots
422848;Lolium perenne;L.;Lolium perenne;Lolium perenne;Poaceae;Poales;monocots
422874;Lolium rigidum;Gaudin;Lolium rigidum;Lolium rigidum;Poaceae;Poales;monocots
423191;Lygeum spartum;Loefl. ex L.;Lygeum spartum;Lygeum spartum;Poaceae;Poales;monocots
423496;Melica ciliata;L.;Melica ciliata;Melica ciliata;Poaceae;Poales;monocots
474057;Oloptum miliaceum;(L.) Röser & Hamasha;Piptatherum miliaceum;Oryzopsis miliacea;Poaceae;Poales;monocots
431053;Parapholis incurva;(L.) C.E.Hubb.;Parapholis incurva;Parapholis incurva;Poaceae;Poales;monocots
433921;Phragmites australis;(Cav.) Trin. ex Steud.;Phragmites australis;Phragmites australis;Poaceae;Poales;monocots
263443;Schoenus nigricans;L.;Schoenus nigricans;Schoenus nigricans;Cyperaceae;Poales;monocots
441982;Sesleria caerulea;(L.) Ard.;Sesleria caerulea;Sesleria varia;Poaceae;Poales;monocots
446499;Thinopyrum junceum;(L.) Á.Löve;Elytrigia juncea;Elymus farctus;Poaceae;Poales;monocots
2726964;Clematis vitalba;L.;Clematis vitalba;Clematis vitalba;Ranunculaceae;Ranunculales;early EU
2826358;Glaucium flavum;Crantz;Glaucium flavum;Glaucium flavum;Papaveraceae;Ranunculales;early EU
2809827;Ficus carica;L.;Ficus carica;Ficus carica;Moraceae;Rosales;rosids
2525844;Rhamnus alaternus;L.;Rhamnus alaternus;Rhamnus alaternus;Rhamnaceae;Rosales;rosids
2523132;Rhamnus lycioides;L.;Rhamnus lycioides;Rhamnus lycioides;Rhamnaceae;Rosales;rosids
2921968;Rosa canina;L.;Rosa canina;Rosa canina;Rosaceae;Rosales;rosids
2990832;Sanguisorba minor;Scop.;Sanguisorba minor;Sanguisorba minor;Rosaceae;Rosales;rosids
2991032;Sarcopoterium spinosum;(L.) Spach;Sarcopoterium spinosum;Sarcopoterium spinosum;Rosaceae;Rosales;rosids
2448560;Urtica dioica;L.;Urtica dioica;Urtica dioica;Urticaceae;Rosales;rosids
2407564;Pistacia lentiscus;L.;Pistacia lentiscus;Pistacia lentiscus;Anacardiaceae;Sapindales;rosids
2742223;Crassula tillaea;Lest.-Garl.;Crassula tillaea;Tillaea muscosa;Crassulaceae;Saxifragales;rosids
2411204;Petrosedum sediforme;(Jacq.) Grulich;Sedum sediforme;Sedum sediforme;Crassulaceae;Saxifragales;rosids
2592108;Sempervivum vicentei;Pau;Sempervivum vicentei;Sempervivum vicentei;Crassulaceae;Saxifragales;rosids
483585;Calystegia soldanella;(L.) R.Br.;Calystegia soldanella;Calystegia soldanella;Convolvulaceae;Solanales;asterids
2457006;Vitis vinifera;L.;Vitis vinifera;Vitis vinifera;Vitaceae;Vitales;rosids
